dbscan_cluster,avg_rating,avg_reviews,total_locations,top_brand,starbucks_count,centroid_latitude,centroid_longitude,centroid_latitude,centroid_longitude,starbucks_absence,expansion_score
49,4.5,14518.5,0,0,0.0,32.7377453,-117.127280325,32.7377453,-117.127280325,1,2179.2000000000003
70,4.3999999999999995,11489.666666666666,2,Whole Foods,0.0,41.94515511666666,-87.66710611666667,41.94515511666666,-87.66710611666667,1,1725.4499999999998
47,4.36,10629.4,0,0,0.0,30.23305894,-97.93014668000001,30.23305894,-97.93014668000001,1,1595.7999999999997
13,4.174561403508772,2668.842105263158,114,Starbucks,57.0,32.84979824824561,-96.76162277105263,32.84979824824561,-96.76162277105263,0,435.5699561403508
4,4.186294416243655,2503.0710659898477,193,Starbucks,66.0,29.793936840101523,-95.44930474111675,29.793936840101523,-95.44930474111675,0,434.4072335025381
2,4.257476635514019,2120.532710280374,162,Starbucks,45.0,29.834679694392523,-98.22550723037384,29.834679694392523,-98.22550723037384,0,367.7442757009346
16,4.22442748091603,2174.0458015267177,130,Starbucks,33.0,33.53940588931298,-112.0675334908397,33.53940588931298,-112.0675334908397,0,366.1629770992367
25,4.0,2328.672727272727,33,Burger King,6.0,39.982127781818185,-75.13096154727272,39.982127781818185,-75.13096154727272,0,360.200909090909
10,4.251737451737452,1818.4208494208494,208,Starbucks,58.0,33.528092227027024,-117.82780748494208,33.528092227027024,-117.82780748494208,0,336.2260617760618
22,4.0686746987951805,2044.5903614457832,83,Subway,6.0,39.69815361084338,-104.96038304216867,39.69815361084338,-104.96038304216867,0,332.6057228915663
65,4.269230769230769,2118.4615384615386,13,Burger King,0.0,39.9795491,-75.13602013846153,39.9795491,-75.13602013846153,1,323.0365384615385
1,3.60521327014218,906.5232227488152,587,Starbucks,217.0,29.818278799810425,-96.73552675943128,29.818278799810425,-96.73552675943128,0,312.9797867298578
28,4.107,1910.52,69,Starbucks,39.0,41.903116755,-87.717821796,41.903116755,-87.717821796,0,308.30474999999996
9,3.7591098748261476,870.6036161335188,570,Subway,79.0,33.50622455897079,-117.80976667134911,33.50622455897079,-117.80976667134911,0,302.5303198887343
50,4.177777777777778,1445.5,166,Nike,0.0,33.40297855611111,-117.71308872333333,33.40297855611111,-117.71308872333333,1,267.96944444444443
68,4.140740740740741,1738.7037037037037,17,Zara,0.0,41.83272570740741,-87.66893139259258,41.83272570740741,-87.66893139259258,1,267.24074074074076
29,4.204739336492891,1576.7535545023698,68,Starbucks,45.0,29.813588710900472,-98.24507335687204,29.813588710900472,-98.24507335687204,0,257.96421800947866
15,3.576470588235294,1077.9480968858131,289,Burger King,29.0,33.51698497439447,-112.07619124429065,33.51698497439447,-112.07619124429065,0,249.28633217993078
53,4.375675675675676,1472.472972972973,72,Nike,0.0,32.86310703648648,-96.68872122567568,32.86310703648648,-96.68872122567568,1,243.86486486486484
7,4.191836734693878,1527.591836734694,28,Walmart,5.0,29.920083085714285,-90.07263275714286,29.920083085714285,-90.07263275714286,0,238.58673469387756
12,3.5374125874125877,965.027972027972,286,Peet's Coffee,54.0,32.83288627202798,-96.79487836188812,32.83288627202798,-96.79487836188812,0,231.43854895104894
31,4.3500000000000005,1487.3333333333333,3,Walmart,0.0,29.92481161666667,-90.07249778333333,29.92481161666667,-90.07249778333333,1,225.38750000000002
40,4.280575539568345,1405.6258992805756,35,Burger King,0.0,29.74926667482014,-98.29671472877698,29.74926667482014,-98.29671472877698,1,222.7140287769784
21,3.4184313725490196,923.7725490196078,255,Subway,33.0,39.708014137647055,-104.95736959254903,39.708014137647055,-104.95736959254903,0,215.92049019607845
27,3.621985815602837,917.5248226950355,246,Burger King,22.0,41.83459719148936,-87.70450041453901,41.83459719148936,-87.70450041453901,0,212.33421985815602
24,3.424827586206897,1135.7724137931034,108,Subway,18.0,39.99824354275862,-75.12410229999999,39.99824354275862,-75.12410229999999,0,203.62206896551723
46,4.371428571428571,1273.3809523809523,35,Barnes & Noble,0.0,29.90956360952381,-90.06951860952381,29.90956360952381,-90.06951860952381,1,202.9
19,4.292241379310345,1177.3189655172414,74,Burger King,11.0,37.54541998362069,-122.14999773275862,37.54541998362069,-122.14999773275862,0,199.8709051724138
45,4.211538461538462,1285.7692307692307,3,Nike,0.0,29.934244384615383,-90.04713365384615,29.934244384615383,-90.04713365384615,1,195.11826923076924
59,4.158695652173913,1099.0217391304348,46,Sephora,0.0,37.60994393043478,-122.2314733173913,37.60994393043478,-122.2314733173913,1,179.9929347826087
42,4.222466960352423,967.2246696035243,94,Subway,0.0,29.772535457709253,-95.4877165475771,29.772535457709253,-95.4877165475771,1,174.63931718061676
18,3.6490039840637447,688.800796812749,218,Subway,21.0,37.5038976812749,-122.10272692071713,37.5038976812749,-122.10272692071713,0,169.63237051792828
8,4.125306122448979,630.1183673469387,245,McDonald's,54.0,33.41176326979592,-117.70840019836734,33.41176326979592,-117.70840019836734,0,169.04908163265304
6,3.4154761904761903,882.9047619047619,80,McDonald's,26.0,29.95212122857143,-90.0486437547619,29.95212122857143,-90.0486437547619,0,157.28958333333333
43,4.3625,888.875,70,Subway,0.0,29.8355140890625,-95.52782641640626,29.8355140890625,-95.52782641640626,1,155.72187499999998
39,4.217391304347826,809.4826086956522,106,Chipotle,0.0,29.863843058695654,-98.21594325347826,29.863843058695654,-98.21594325347826,1,154.5767391304348
3,4.029310344827587,654.0862068965517,174,McDonald's,54.0,29.83037789885057,-95.45804536551725,29.83037789885057,-95.45804536551725,0,151.32025862068966
62,4.1755102040816325,851.9387755102041,49,Chipotle,0.0,39.713803802040815,-104.9693876122449,39.713803802040815,-104.9693876122449,1,143.83469387755102
